transaction_id,cashback_user_id,purchase_date,merchant_id,source,status,status_updated_date,amount_sar
CB0001,B2001,2025-05-10,M-B01,NovaLink Affiliates,approved,2025-06-04,37
CB0002,B2001,2025-11-10,M-B01,RewardBridge,approved,2025-12-05,37
CB0003,B2002,2025-02-10,M-B01,ClickHarbor,approved,2025-03-07,44
CB0004,B2002,2025-08-10,M-B01,PartnerPulse,approved,2025-09-04,44
CB0005,B2003,2025-05-10,M-B01,TrackMint Network,approved,2025-06-04,51
CB0006,B2003,2025-11-10,M-B01,Orbit Affiliates,approved,2025-12-05,51
CB0007,B2004,2025-02-10,M-B01,NovaLink Affiliates,approved,2025-03-07,58
CB0008,B2004,2025-08-10,M-B01,RewardBridge,approved,2025-09-04,58
CB0009,B2005,2025-05-10,M-B01,ClickHarbor,approved,2025-06-04,65
CB0010,B2005,2025-11-10,M-B01,PartnerPulse,approved,2025-12-05,65
CB0011,B2006,2025-02-10,M-B01,TrackMint Network,approved,2025-03-07,72
CB0012,B2006,2025-08-10,M-B01,Orbit Affiliates,approved,2025-09-04,72
CB0013,B2007,2025-05-10,M-B01,NovaLink Affiliates,approved,2025-06-04,79
CB0014,B2007,2025-11-10,M-B01,RewardBridge,approved,2025-12-05,79
CB0015,B2008,2025-02-10,M-B01,ClickHarbor,approved,2025-03-07,86
CB0016,B2008,2025-08-10,M-B01,PartnerPulse,approved,2025-09-04,86
CB0017,B2009,2025-05-10,M-B01,TrackMint Network,approved,2025-06-04,93
CB0018,B2009,2025-11-10,M-B01,Orbit Affiliates,approved,2025-12-05,93
CB0019,B2010,2025-02-10,M-B01,NovaLink Affiliates,approved,2025-03-07,100
CB0020,B2010,2025-08-10,M-B01,RewardBridge,approved,2025-09-04,100
CB0021,B2011,2025-05-10,M-B01,ClickHarbor,approved,2025-06-04,107
CB0022,B2011,2025-11-10,M-B01,PartnerPulse,approved,2025-12-05,107
CB0023,B2012,2025-02-10,M-B01,TrackMint Network,approved,2025-03-07,114
CB0024,B2012,2025-08-10,M-B01,Orbit Affiliates,approved,2025-09-04,114
CB0025,B2014,2025-02-10,M-B01,NovaLink Affiliates,approved,2025-03-07,128
CB0026,B2016,2025-02-10,M-B01,RewardBridge,approved,2025-03-07,142
CB0027,B2018,2025-02-10,M-B01,ClickHarbor,approved,2025-03-07,36
CB0028,B2020,2025-02-10,M-B01,PartnerPulse,approved,2025-03-07,50
CB0029,B2021,2025-11-10,M-B01,TrackMint Network,approved,2025-12-05,57
CB0030,B2022,2025-02-10,M-B01,Orbit Affiliates,approved,2025-03-07,64
CB0031,B2022,2025-08-10,M-B01,NovaLink Affiliates,approved,2025-09-04,64
CB0032,B2023,2025-11-10,M-B01,RewardBridge,approved,2025-12-05,71
CB0033,B2024,2025-02-10,M-B01,ClickHarbor,approved,2025-03-07,78
CB0034,B2024,2025-08-10,M-B01,PartnerPulse,approved,2025-09-04,78
CB0035,B2025,2025-11-10,M-B01,TrackMint Network,approved,2025-12-05,85
CB0036,B2026,2025-02-10,M-B01,Orbit Affiliates,approved,2025-03-07,92
CB0037,B2026,2025-08-10,M-B01,NovaLink Affiliates,approved,2025-09-04,92
CB0038,B2027,2025-05-10,M-B01,RewardBridge,approved,2025-06-04,99
CB0039,B2028,2025-02-10,M-B01,ClickHarbor,approved,2025-03-07,106
CB0040,B2029,2025-05-10,M-B01,PartnerPulse,approved,2025-06-04,113
CB0041,B2030,2025-02-10,M-B01,TrackMint Network,approved,2025-03-07,120
CB0042,B2031,2025-05-10,M-B01,Orbit Affiliates,approved,2025-06-04,127
CB0043,B2032,2025-02-10,M-B01,NovaLink Affiliates,approved,2025-03-07,134
CB0044,B2033,2025-05-10,M-B01,RewardBridge,approved,2025-06-04,141
CB0045,B2033,2025-11-10,M-B01,ClickHarbor,approved,2025-12-05,141
CB0046,B2034,2025-08-10,M-B01,PartnerPulse,approved,2025-09-04,148
CB0047,B2035,2025-05-10,M-B01,TrackMint Network,approved,2025-06-04,35
CB0048,B2035,2025-11-10,M-B01,Orbit Affiliates,approved,2025-12-05,35
CB0049,B2036,2025-08-10,M-B01,NovaLink Affiliates,approved,2025-09-04,42
CB0050,B2037,2025-05-10,M-B01,RewardBridge,approved,2025-06-04,49
CB0051,B2037,2025-11-10,M-B01,ClickHarbor,approved,2025-12-05,49
CB0052,B2038,2025-08-10,M-B01,PartnerPulse,approved,2025-09-04,56
CB0053,B2039,2025-05-10,M-B01,TrackMint Network,approved,2025-06-04,63
CB0054,B2039,2025-11-10,M-B01,Orbit Affiliates,approved,2025-12-05,63
CB0055,B2041,2025-05-10,M-B01,NovaLink Affiliates,approved,2025-06-04,77
CB0056,B2041,2025-11-10,M-B01,RewardBridge,approved,2025-12-05,77
CB0057,B2043,2025-05-10,M-B01,ClickHarbor,approved,2025-06-04,91
CB0058,B2043,2025-11-10,M-B01,PartnerPulse,approved,2025-12-05,91
CB0059,B2044,2025-08-10,M-B01,TrackMint Network,approved,2025-09-04,98
CB0060,B2045,2025-11-10,M-B01,Orbit Affiliates,approved,2025-12-05,105
CB0061,B2046,2025-08-10,M-B01,NovaLink Affiliates,approved,2025-09-04,112
CB0062,B2047,2025-11-10,M-B01,RewardBridge,approved,2025-12-05,119
CB0063,B2048,2025-08-10,M-B01,ClickHarbor,approved,2025-09-04,126
CB0064,B2049,2025-11-10,M-B01,PartnerPulse,approved,2025-12-05,133
CB0065,B2051,2025-11-10,M-B01,TrackMint Network,approved,2025-12-05,147
CB0066,B2053,2025-05-10,M-B01,Orbit Affiliates,approved,2025-06-04,41
