coupon_event_id,coupon_user_id,event_date,merchant_id,event_type
CE0001,C1001,2025-02-10,M-C01,coupon_copy
CE0002,C1001,2025-08-10,M-C01,coupon_copy
CE0003,C1002,2025-05-10,M-C01,coupon_copy
CE0004,C1002,2025-11-10,M-C01,coupon_copy
CE0005,C1003,2025-02-10,M-C01,coupon_copy
CE0006,C1003,2025-08-10,M-C01,coupon_copy
CE0007,C1004,2025-05-10,M-C01,coupon_copy
CE0008,C1004,2025-11-10,M-C01,coupon_copy
CE0009,C1005,2025-02-10,M-C01,coupon_copy
CE0010,C1005,2025-08-10,M-C01,coupon_copy
CE0011,C1006,2025-05-10,M-C01,coupon_copy
CE0012,C1006,2025-11-10,M-C01,coupon_copy
CE0013,C1007,2025-02-10,M-C01,coupon_copy
CE0014,C1007,2025-08-10,M-C01,coupon_copy
CE0015,C1008,2025-05-10,M-C01,coupon_copy
CE0016,C1008,2025-11-10,M-C01,coupon_copy
CE0017,C1009,2025-02-10,M-C01,coupon_copy
CE0018,C1009,2025-08-10,M-C01,coupon_copy
CE0019,C1010,2025-05-10,M-C01,coupon_copy
CE0020,C1010,2025-11-10,M-C01,coupon_copy
CE0021,C1011,2025-02-10,M-C01,coupon_copy
CE0022,C1011,2025-08-10,M-C01,coupon_copy
CE0023,C1012,2025-05-10,M-C01,coupon_copy
CE0024,C1012,2025-11-10,M-C01,coupon_copy
CE0025,C1013,2025-02-10,M-C01,coupon_copy
CE0026,C1015,2025-02-10,M-C01,coupon_copy
CE0027,C1017,2025-02-10,M-C01,coupon_copy
CE0028,C1019,2025-02-10,M-C01,coupon_copy
CE0029,C1021,2025-02-10,M-C01,coupon_copy
CE0030,C1021,2025-08-10,M-C01,coupon_copy
CE0031,C1022,2025-11-10,M-C01,coupon_copy
CE0032,C1023,2025-02-10,M-C01,coupon_copy
CE0033,C1023,2025-08-10,M-C01,coupon_copy
CE0034,C1024,2025-11-10,M-C01,coupon_copy
CE0035,C1025,2025-02-10,M-C01,coupon_copy
CE0036,C1025,2025-08-10,M-C01,coupon_copy
CE0037,C1026,2025-11-10,M-C01,coupon_copy
CE0038,C1027,2025-02-10,M-C01,coupon_copy
CE0039,C1028,2025-05-10,M-C01,coupon_copy
CE0040,C1029,2025-02-10,M-C01,coupon_copy
CE0041,C1030,2025-05-10,M-C01,coupon_copy
CE0042,C1031,2025-02-10,M-C01,coupon_copy
CE0043,C1032,2025-05-10,M-C01,coupon_copy
CE0044,C1033,2025-08-10,M-C01,coupon_copy
CE0045,C1034,2025-05-10,M-C01,coupon_copy
CE0046,C1034,2025-11-10,M-C01,coupon_copy
CE0047,C1035,2025-08-10,M-C01,coupon_copy
CE0048,C1036,2025-05-10,M-C01,coupon_copy
CE0049,C1036,2025-11-10,M-C01,coupon_copy
CE0050,C1037,2025-08-10,M-C01,coupon_copy
CE0051,C1038,2025-05-10,M-C01,coupon_copy
CE0052,C1038,2025-11-10,M-C01,coupon_copy
CE0053,C1040,2025-05-10,M-C01,coupon_copy
CE0054,C1040,2025-11-10,M-C01,coupon_copy
CE0055,C1042,2025-05-10,M-C01,coupon_copy
CE0056,C1042,2025-11-10,M-C01,coupon_copy
CE0057,C1044,2025-11-10,M-C01,coupon_copy
CE0058,C1045,2025-08-10,M-C01,coupon_copy
CE0059,C1046,2025-11-10,M-C01,coupon_copy
CE0060,C1047,2025-08-10,M-C01,coupon_copy
CE0061,C1048,2025-11-10,M-C01,coupon_copy
CE0062,C1050,2025-11-10,M-C01,coupon_copy
CE0063,C1052,2025-11-10,M-C01,coupon_copy
CE0064,C1053,2025-02-10,M-C01,coupon_copy
CE0065,C1053,2025-08-10,M-C01,coupon_copy
CE0066,C1054,2025-05-10,M-C01,coupon_copy
CE0067,C1055,2025-02-10,M-C01,coupon_copy
CE0068,C1055,2025-08-10,M-C01,coupon_copy
CE0069,C1056,2025-05-10,M-C01,coupon_copy
CE0070,C1057,2025-02-10,M-C01,coupon_copy
CE0071,C1057,2025-05-10,M-C03,coupon_copy
CE0072,C1057,2025-08-10,M-C01,coupon_copy
CE0073,C1057,2025-11-10,M-C03,coupon_copy
CE0074,C1058,2025-02-10,M-C03,coupon_copy
CE0075,C1058,2025-05-10,M-C01,coupon_copy
CE0076,C1058,2025-08-10,M-C03,coupon_copy
CE0077,C1058,2025-11-10,M-C01,coupon_copy
CE0078,C1059,2025-02-10,M-C01,coupon_copy
CE0079,C1059,2025-05-10,M-C03,coupon_copy
CE0080,C1059,2025-08-10,M-C01,coupon_copy
CE0081,C1059,2025-11-10,M-C03,coupon_copy
CE0082,C1060,2025-02-10,M-C03,coupon_copy
CE0083,C1060,2025-05-10,M-C01,coupon_copy
CE0084,C1060,2025-08-10,M-C03,coupon_copy
CE0085,C1060,2025-11-10,M-C01,coupon_copy
CE0086,C1061,2025-02-10,M-C01,coupon_copy
CE0087,C1065,2025-02-10,M-C01,coupon_copy
CE0009,C1005,2025-02-10,M-C01,coupon_copy
