source_system,source_user_id,unified_user_id
coupon,C1001,U001
cashback,B2001,U001
coupon,C1002,U002
cashback,B2002,U002
coupon,C1003,U003
cashback,B2003,U003
coupon,C1004,U004
cashback,B2004,U004
coupon,C1005,U005
cashback,B2005,U005
coupon,C1006,U006
cashback,B2006,U006
coupon,C1007,U007
cashback,B2007,U007
coupon,C1008,U008
cashback,B2008,U008
coupon,C1009,U009
cashback,B2009,U009
coupon,C1010,U010
cashback,B2010,U010
coupon,C1011,U011
cashback,B2011,U011
coupon,C1012,U012
cashback,B2012,U012
coupon,C1013,U013
cashback,B2013,U013
coupon,C1014,U014
cashback,B2014,U014
coupon,C1015,U015
cashback,B2015,U015
coupon,C1016,U016
cashback,B2016,U016
coupon,C1017,U017
cashback,B2017,U017
coupon,C1018,U018
cashback,B2018,U018
coupon,C1019,U019
cashback,B2019,U019
coupon,C1020,U020
cashback,B2020,U020
coupon,C1021,U021
cashback,B2021,U021
coupon,C1022,U022
cashback,B2022,U022
coupon,C1023,U023
cashback,B2023,U023
coupon,C1024,U024
cashback,B2024,U024
coupon,C1025,U025
cashback,B2025,U025
coupon,C1026,U026
cashback,B2026,U026
coupon,C1027,U027
cashback,B2027,U027
coupon,C1028,U028
cashback,B2028,U028
coupon,C1029,U029
cashback,B2029,U029
coupon,C1030,U030
cashback,B2030,U030
coupon,C1031,U031
cashback,B2031,U031
coupon,C1032,U032
cashback,B2032,U032
coupon,C1033,U033
cashback,B2033,U033
coupon,C1034,U034
cashback,B2034,U034
coupon,C1035,U035
cashback,B2035,U035
coupon,C1036,U036
cashback,B2036,U036
coupon,C1037,U037
cashback,B2037,U037
coupon,C1038,U038
cashback,B2038,U038
coupon,C1039,U039
cashback,B2039,U039
coupon,C1040,U040
cashback,B2040,U040
coupon,C1041,U041
cashback,B2041,U041
coupon,C1042,U042
cashback,B2042,U042
coupon,C1043,U043
cashback,B2043,U043
coupon,C1044,U044
cashback,B2044,U044
coupon,C1045,U045
cashback,B2045,U045
coupon,C1046,U046
cashback,B2046,U046
coupon,C1047,U047
cashback,B2047,U047
coupon,C1048,U048
cashback,B2048,U048
coupon,C1049,U049
cashback,B2049,U049
coupon,C1050,U050
cashback,B2050,U050
coupon,C1051,U051
cashback,B2051,U051
coupon,C1052,U052
cashback,B2052,U052
coupon,C1053,U053
cashback,B2053,U053
coupon,C1054,U054
cashback,B2054,U054
coupon,C1055,U055
cashback,B2055,U055
coupon,C1056,U056
cashback,B2056,U056
coupon,C1057,U057
cashback,B2057,U057
coupon,C1058,U058
cashback,B2058,U058
coupon,C1059,U059
cashback,B2059,U059
coupon,C1060,U060
cashback,B2060,U060
coupon,C1061,U061
cashback,B2061,U061
coupon,C1062,U062
cashback,B2062,U062
coupon,C1063,U063
cashback,B2063,U063
coupon,C1064,U064
cashback,B2064,U064
coupon,C1065,U065
cashback,B2065,U065
coupon,C1066,U066
cashback,B2066,U066
